
Checking address: 0xdfc24b077bc1425ad1dea75bcb6f8158e10df303
  Found 0 positions.

Checking address: 0x010461c14e146ac35fe42271bdc1134ee31c703a
  Found 189 positions.
    - Coin: XAI, Size: 4963866.2000000002, Entry: 0.01416, PnL: -10889.908435
    - Coin: MANTA, Size: 25045.4, Entry: 0.07399, PnL: -0.873607
    - Coin: UMA, Size: 121991.9, Entry: 0.61715, PnL: -5446.230065
    - Coin: ONDO, Size: 298407.0, Entry: 0.280025, PnL: 1096.398121
    - Coin: ALT, Size: 8939295.0, Entry: 0.00997, PnL: -3011.672682
    - Coin: ZETA, Size: -403095.8, Entry: 0.06043, PnL: -478.099114
    - Coin: DYM, Size: 1143851.2, Entry: 0.04983, PnL: -3108.435979
    - Coin: MAVIA, Size: -87114.2, Entry: 0.04561, PnL: -54.112541
    - Coin: W, Size: 1436272.1000000001, Entry: 0.02335, PnL: 726.497486
    - Coin: STRK, Size: -338813.5, Entry: 0.05523, PnL: -591.904649
    - Coin: TAO, Size: 265.966, Entry: 199.952, PnL: 233.493388
    - Coin: AR, Size: -34541.21, Entry: 2.5052, PnL: -632.03623
    - Coin: kFLOKI, Size: 1719908.0, Entry: 0.034866, PnL: 1415.117057
    - Coin: BOME, Size: -49862657.0, Entry: 0.000506, PnL: 1177.330759
    - Coin: ETHFI, Size: -68755.0, Entry: 0.49676, PnL: -5.614635
    - Coin: ENA, Size: -67313.0, Entry: 0.142039, PnL: 92.84053
    - Coin: MNT, Size: 113384.8, Entry: 0.71118, PnL: 3737.328606
    - Coin: TNSR, Size: -159839.0, Entry: 0.20645, PnL: 25153.512896
    - Coin: SAGA, Size: -2399801.8999999999, Entry: 0.03671, PnL: 1223.914975
    - Coin: MERL, Size: 892050.0, Entry: 0.049326, PnL: 239.825947
    - Coin: HBAR, Size: -1317119.0, Entry: 0.090757, PnL: -3383.612295
    - Coin: POPCAT, Size: -59711.0, Entry: 0.056518, PnL: 0.82483
    - Coin: EIGEN, Size: 502158.56, Entry: 0.2575, PnL: 756.470186
    - Coin: REZ, Size: 2852832.0, Entry: 0.003716, PnL: 155.543081
    - Coin: NOT, Size: 85578210.0, Entry: 0.000517, PnL: -5969.136792
    - Coin: TURBO, Size: -438569.0, Entry: 0.001253, PnL: 0.0
    - Coin: BRETT, Size: 3640112.0, Entry: 0.009564, PnL: 599.239378
    - Coin: IO, Size: -192874.5, Entry: 0.12298, PnL: -233.895475
    - Coin: ZK, Size: -2969353.0, Entry: 0.025626, PnL: -879.179122
    - Coin: BLAST, Size: -157303515.0, Entry: 0.000716, PnL: 16672.430249
    - Coin: MEW, Size: -12994244.0, Entry: 0.000718, PnL: -14.894792
    - Coin: RENDER, Size: -33126.9, Entry: 1.58471, PnL: -493.255439
    - Coin: POL, Size: 489365.0, Entry: 0.108058, PnL: 1684.003762
    - Coin: CELO, Size: 31988.0, Entry: 0.095832, PnL: -18.803336
    - Coin: HMSTR, Size: 8595857.0, Entry: 0.000191, PnL: 3.30214
    - Coin: SCR, Size: -304647.5, Entry: 0.0618, PnL: -308.561343
    - Coin: kNEIRO, Size: 1488471.8, Entry: 0.09448, PnL: -9813.7902
    - Coin: GOAT, Size: 1076787.0, Entry: 0.026334, PnL: -149.294464
    - Coin: MOODENG, Size: -344398.0, Entry: 0.055736, PnL: 191.118776
    - Coin: GRASS, Size: 315556.3, Entry: 0.22936, PnL: -4153.610178
    - Coin: PURR, Size: 40137.0, Entry: 0.073162, PnL: 76.559221
    - Coin: PNUT, Size: -736762.4, Entry: 0.05725, PnL: -237.410291
    - Coin: XLM, Size: -114976.0, Entry: 0.182185, PnL: 98.387782
    - Coin: CHILLGUY, Size: 3798004.0, Entry: 0.013368, PnL: -4463.408443
    - Coin: SAND, Size: 192595.0, Entry: 0.102855, PnL: -76.182218
    - Coin: IOTA, Size: 664058.0, Entry: 0.079451, PnL: -3291.235716
    - Coin: ALGO, Size: -13658.0, Entry: 0.106605, PnL: 0.20517
    - Coin: HYPE, Size: 6269.33, Entry: 32.2897, PnL: 4032.514326
    - Coin: ME, Size: -137278.8, Entry: 0.1633, PnL: 354.102141
    - Coin: MOVE, Size: -651842.0, Entry: 0.027432, PnL: 24.333219
    - Coin: VIRTUAL, Size: -89394.4, Entry: 0.64443, PnL: -402.678087
    - Coin: PENGU, Size: 5418351.0, Entry: 0.007769, PnL: 518.518676
    - Coin: USUAL, Size: -1545097.3999999999, Entry: 0.01961, PnL: 1070.656725
    - Coin: FARTCOIN, Size: -341152.8, Entry: 0.2255, PnL: -323.400281
    - Coin: AIXBT, Size: 4002267.0, Entry: 0.025234, PnL: -3380.5672
    - Coin: ZEREBRO, Size: 2585448.0, Entry: 0.009218, PnL: 207.604868
    - Coin: BIO, Size: -1007975.0, Entry: 0.033247, PnL: 639.473469
    - Coin: GRIFFAIN, Size: 1494.0, Entry: 0.011085, PnL: 0.030157
    - Coin: SPX, Size: -37591.5, Entry: 0.31631, PnL: 64.463032
    - Coin: S, Size: 1511000.0, Entry: 0.052323, PnL: 1604.187028
    - Coin: MORPHO, Size: -192552.6, Entry: 1.16347, PnL: -11923.363133
    - Coin: TRUMP, Size: 46574.0, Entry: 4.23968, PnL: -204.109367
    - Coin: MELANIA, Size: -35608.6, Entry: 0.12853, PnL: 22.527219
    - Coin: ANIME, Size: -8587959.0, Entry: 0.006039, PnL: -415.608833
    - Coin: VINE, Size: -2314055.0, Entry: 0.023545, PnL: 5245.692162
    - Coin: VVV, Size: 25721.03, Entry: 2.2075, PnL: -148.097677
    - Coin: BERA, Size: -134646.9, Entry: 0.46549, PnL: -74.709575
    - Coin: TST, Size: -958511.0, Entry: 0.01174, PnL: -39.28517
    - Coin: LAYER, Size: -58995.0, Entry: 0.101848, PnL: -64.420455
    - Coin: IP, Size: -51874.3, Entry: 1.42571, PnL: -533.275372
    - Coin: OM, Size: 566243.2, Entry: 0.05037, PnL: 352.794134
    - Coin: KAITO, Size: -150221.0, Entry: 0.360049, PnL: -901.387066
    - Coin: NIL, Size: 280915.0, Entry: 0.051503, PnL: 30.84699
    - Coin: PAXG, Size: 16.571, Entry: 4720.607, PnL: -303.379886
    - Coin: PROMPT, Size: -1366468.0, Entry: 0.062508, PnL: 3983.976861
    - Coin: BABY, Size: -115362.0, Entry: 0.016581, PnL: -11.225065
    - Coin: WCT, Size: 517697.0, Entry: 0.063901, PnL: -760.155388
    - Coin: HYPER, Size: -129638.0, Entry: 0.107547, PnL: -101.428383
    - Coin: ZORA, Size: -4107002.0, Entry: 0.026648, PnL: 1328.072222
    - Coin: INIT, Size: -1143468.0, Entry: 0.086005, PnL: 5557.046949
    - Coin: DOOD, Size: -6953438.0, Entry: 0.004326, PnL: 218.150179
    - Coin: NXPC, Size: 46986.0, Entry: 0.371876, PnL: 375.120716
    - Coin: SOPH, Size: -2839209.0, Entry: 0.010927, PnL: 522.960621
    - Coin: RESOLV, Size: -1530220.0, Entry: 0.07901, PnL: 518.11323
    - Coin: SYRUP, Size: -198093.0, Entry: 0.294984, PnL: 490.108708
    - Coin: PUMP, Size: -51743714.0, Entry: 0.002491, PnL: 1501.718085
    - Coin: PROVE, Size: -82675.0, Entry: 0.333758, PnL: -597.87466
    - Coin: YZY, Size: 455582.0, Entry: 0.376981, PnL: -20283.387501
    - Coin: XPL, Size: -980220.0, Entry: 0.104433, PnL: -114.63355
    - Coin: WLFI, Size: 734707.0, Entry: 0.129519, PnL: 595.311109
    - Coin: LINEA, Size: -10228378.0, Entry: 0.004498, PnL: 909.605752
    - Coin: SKY, Size: -1054732.0, Entry: 0.060644, PnL: -2246.389051
    - Coin: ASTER, Size: -32991.0, Entry: 0.568593, PnL: 52.569777
    - Coin: AVNT, Size: -195905.0, Entry: 0.241605, PnL: -94.951274
    - Coin: STBL, Size: -2579135.0, Entry: 0.036489, PnL: 2514.924091
    - Coin: 0G, Size: -181116.0, Entry: 0.638428, PnL: 608.287706
    - Coin: HEMI, Size: -11111094.0, Entry: 0.012779, PnL: 10819.0226
    - Coin: APEX, Size: -256927.0, Entry: 0.304307, PnL: -4052.38739
    - Coin: 2Z, Size: -868610.0, Entry: 0.109656, PnL: 1143.917637
    - Coin: ZEC, Size: 23.05, Entry: 295.6007, PnL: -13.6162
    - Coin: MON, Size: -3328198.0, Entry: 0.018592, PnL: -247.811992
    - Coin: MET, Size: -235740.0, Entry: 0.233647, PnL: -992.996655
    - Coin: CC, Size: -346002.0, Entry: 0.184801, PnL: -2006.316904
    - Coin: ICP, Size: 30033.9, Entry: 2.69515, PnL: 689.140399
    - Coin: AERO, Size: -229154.0, Entry: 0.38952, PnL: -2974.250223
    - Coin: STABLE, Size: -669642.0, Entry: 0.030454, PnL: 53.624231
    - Coin: FOGO, Size: -104065.0, Entry: 0.034339, PnL: 71.246649
    - Coin: LIT, Size: 130613.0, Entry: 1.556362, PnL: 7319.213978
    - Coin: XMR, Size: 251.19, Entry: 405.612, PnL: -990.416419
    - Coin: AXS, Size: -96510.4, Entry: 1.71916, PnL: -2030.28763
    - Coin: DASH, Size: 1841.87, Entry: 44.3041, PnL: 1161.952856
    - Coin: SKR, Size: 1860253.0, Entry: 0.018987, PnL: -742.337457

Checking address: 0x2e3d94f0562703b25c83308a05046ddaf9a8dd14
  Found 0 positions.

Checking address: 0x2ed5c4484ea3ff8b57d5f2fb152a40d9f2b68308
  Found 0 positions.

Checking address: 0x31ca8395cf837de08b24da3f660e77761dfb974b
  Found 189 positions.
    - Coin: BTC, Size: -16.10858, Entry: 77762.7, PnL: -19608.650705
    - Coin: ETH, Size: -81.1888, Entry: 2352.84, PnL: -150.965952
    - Coin: ATOM, Size: -66240.0, Entry: 1.982, PnL: -236.257748
    - Coin: DYDX, Size: 261899.6, Entry: 0.13768, PnL: -929.759567
    - Coin: SOL, Size: -12353.36, Entry: 105.9815, PnL: 15089.897179
    - Coin: AVAX, Size: -10110.0, Entry: 10.0034, PnL: -1613.343052
    - Coin: BNB, Size: -304.008, Entry: 763.356, PnL: -3278.372825
